"ProcessId";"HostProcess";"Type";"MemoryMB";"FileVersion";"ExecutablePath";"StartTime"
"10996";"M365Copilot.exe";"renderer";"361,79";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:14:41"
"34848";"OUTLOOK.EXE";"renderer";"237,51";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 14:27:41"
"10484";"WidgetBoard.exe";"renderer";"222,01";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:13:03"
"20240";"WidgetBoard.exe";"gpu-process";"154,99";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:13:02"
"5296";"OUTLOOK.EXE";"renderer";"147,9";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 13:39:09"
"26284";"OUTLOOK.EXE";"";"144,78";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:34:57"
"14976";"M365Copilot.exe";"gpu-process";"138,93";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:14:41"
"9512";"CaseBuddyApp.exe";"";"125,45";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 13:30:30"
"20080";"WidgetBoard.exe";"";"116,59";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:13:02"
"15148";"SearchHost.exe";"";"110,99";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:11:59"
"22016";"WhatsApp.Root.exe";"renderer";"109,77";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:15:09"
"18812";"OneDrive.exe";"";"105,74";"142.0.3595.76";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.76\msedgewebview2.exe";"2025-11-12 09:14:04"
